SEMESTRE;SIGLA;CREDITOS;TASA DE REPROBACION;Nº PREREQ.;REQ1;REQ2;REQ3;REQ4;REG5;REG6
1;115;6;0,58;0;0;0;0;0;0;0
1;140;6;0,20;0;0;0;0;0;0;0
1;116;6;0,55;0;0;0;0;0;0;0
1;100;2;0,10;0;0;0;0;0;0;0
2;117;4;0,56;1;115;0;0;0;0;0
2;133;5;0,54;1;115;0;0;0;0;0
2;120;3;0,45;1;140;0;0;0;0;0
2;121;3;0,08;1;140;0;0;0;0;0
2;127;4;0,50;1;116;0;0;0;0;0
2;200;2;0,10;0;0;0;0;0;0;0
3;215;5;0,50;2;117;116;0;0;0;0
3;233;4;0,39;1;133;0;0;0;0;0
3;205;4;0,35;1;117;0;0;0;0;0
3;217;6;0,44;2;117;127;0;0;0;0
3;300;2;0,10;0;0;0;0;0;0;0
4;227;4;0,47;2;215;217;0;0;0;0
4;334;5;0,30;2;133;215;0;0;0;0
4;31;2;0,07;1;233;0;0;0;0;0
4;216;3;0,28;2;217;133;0;0;0;0
4;252;5;0,48;1;217;0;0;0;0;0
4;400;2;0,10;0;0;0;0;0;0;0
5;340;4;0,22;2;334;252;0;0;0;0
5;433;4;0,30;2;334;217;0;0;0;0
5;343;3;0,04;2;31;252;0;0;0;0
5;312;3;0,21;1;215;0;0;0;0;0
5;342;4;0,33;1;252;0;0;0;0;0
5;344;2;0,06;1;140;0;0;0;0;0
6;355;4;0,20;1;340;0;0;0;0;0
6;351;4;0,29;1;433;0;0;0;0;0
6;327;4;0,35;2;217;216;0;0;0;0
6;323;3;0,18;2;117;233;0;0;0;0
6;357;4;0,36;1;342;0;0;0;0;0
7;440;4;0,18;1;355;0;0;0;0;0
7;441;4;0,32;2;342;351;0;0;0;0
7;447;2;0,02;2;355;343;0;0;0;0
7;445;2;0,03;2;351;343;0;0;0;0
7;448;4;0,39;1;357;0;0;0;0;0
7;446;4;0,26;1;351;0;0;0;0;0
8;450;4;0,40;1;440;0;0;0;0;0
8;451;4;0,14;2;441;446;0;0;0;0
8;459;3;0,54;1;441;0;0;0;0;0
8;415;3;0,02;5;355;351;327;323;357;0
8;456;3;0,13;1;446;0;0;0;0;0
9;550;3;0,26;1;450;0;0;0;0;0
9;544;3;0,23;1;459;0;0;0;0;0
9;549;2;0,01;1;459;0;0;0;0;0
9;424;3;0,04;1;323;0;0;0;0;0
9;513;4;0,15;1;415;0;0;0;0;0
9;547;3;0,02;1;456;0;0;0;0;0
10;458;4;0,25;1;357;0;0;0;0;0
10;500;2;0,10;6;340;433;343;312;342;344
10;1000;3;0,10;5;450;451;459;415;456;0
10;602;3;0,14;1;415;0;0;0;0;0
10;405;3;0,14;1;415;0;0;0;0;0
11;640;4;0,03;6;550;544;549;424;513;547
11;1101;3;0,10;5;450;451;459;415;456;0
11;1102;3;0,10;5;450;451;459;415;456;0
11;606;3;0,10;1;415;0;0;0;0;0
12;650;8;0,12;1;640;0;0;0;0;0
12;1201;3;0,10;5;450;451;459;415;456;0
12;1202;3;0,10;5;450;451;459;415;456;0
12;608;3;0,06;1;415;0;0;0;0;0
